Name,Price,Image URL
Castello Creamy Blue Cheese,11.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003508.png?w=384
Rolling Meadow Mozzarella Grated Cheese,10.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5017804.png?w=384
Bouton d'Or Feta Cheese,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5012553.png?w=384
Sealord Tomato & Basil Tuna,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009950.png?w=384
Griffin's Super Wine Biscuits,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003309.png?w=384
Kettle Chip Company Sea Salt Potato Chips,3..49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5230700.png?w=384
Henergy Cage-Free A Grade Size 7 Eggs,10.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026304.png?w=384
Pams Ready Salted Flavour Potato Chips,1.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5005783.png?w=384
Peckish Tangy Barbecue Flavoured Rice Crackers,1..79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010996.png?w=384
NZ Beef Sirloin Steak,39.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5123919.png?w=384
Copper Kettle Wood Fired BBQ Potato Chips,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010665.png?w=384
Bluebird Thinly Cut Salt & Vinegar Potato Chips,1..99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5034759.png?w=384
Ornelle Brie Cheese,4.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5014563.png?w=384
